"Time","low","mid","up"
0,276,460,264
1,344,454,202
2,478,457,65
3,557,403,40
4,642,342,16
5,649,333,18
6,615,344,41
7,633,328,39
8,636,325,39
9,668,295,37
10,710,261,29
11,769,212,19
12,776,205,19
13,839,151,10
14,862,131,7
15,883,110,7
16,919,78,3
17,935,61,4
18,933,63,4
19,938,58,4
20,933,61,6
21,933,60,7
22,929,63,8
23,934,58,8
24,935,58,7
25,937,56,7
26,937,56,7
27,936,59,5
28,942,53,5
29,949,46,5
30,954,41,5
31,954,41,5
32,953,39,8
33,950,41,9
34,943,46,11
35,941,48,11
36,935,54,11
37,935,54,11
38,933,55,12
39,932,55,13
40,926,62,12
41,933,55,12
42,932,56,12
43,935,55,10
44,936,56,8
45,942,51,7
46,942,50,8
47,944,48,8
48,946,46,8
49,948,45,7
50,949,45,6
51,952,42,6
52,952,42,6
53,954,41,5
54,954,42,4
55,955,40,5
56,957,39,4
57,958,38,4
58,961,35,4
59,964,33,3
60,968,29,3
61,968,30,2
62,966,33,1
63,965,34,1
64,966,33,1
65,968,31,1
66,970,29,1
67,972,27,1
68,971,28,1
69,973,26,1
70,972,27,1
71,975,24,1
72,917,70,13
73,930,61,9
74,933,59,8
75,936,56,8
76,934,58,8
77,939,53,8
78,941,51,8
79,940,53,7
80,941,51,8
81,945,48,7
82,947,47,6
83,946,48,6
84,943,51,6
85,941,53,6
86,938,57,5
87,941,54,5
88,939,55,6
89,940,54,6
90,940,52,8
91,945,49,6
92,946,49,5
93,948,46,6
94,945,49,6
95,945,49,6
96,947,46,7
97,946,46,8
98,945,47,8
99,946,46,8
100,943,49,8
101,942,51,7
102,942,50,8
103,943,50,7
104,945,46,9
105,942,50,8
106,940,51,9
107,932,58,10
108,930,60,10
109,931,60,9
110,931,60,9
111,935,58,7
112,935,58,7
113,933,60,7
114,929,61,10
115,932,58,10
116,932,59,9
117,933,58,9
118,930,63,7
119,937,56,7
120,938,53,9
121,940,52,8
122,941,52,7
123,946,48,6
124,949,45,6
125,950,46,4
126,950,46,4
127,952,43,5
128,955,40,5
129,960,37,3
130,957,40,3
131,958,39,3
132,962,35,3
133,965,33,2
134,967,31,2
135,970,28,2
136,969,29,2
137,970,28,2
138,970,29,1
139,971,28,1
140,973,26,1
141,973,26,1
142,974,25,1
143,975,24,1
144,974,25,1
145,974,25,1
146,975,23,2
147,974,24,2
148,975,24,1
149,975,24,1
150,975,24,1
151,957,36,7
152,958,34,8
153,959,33,8
154,963,29,8
155,964,30,6
156,965,29,6
157,969,26,5
158,968,26,6
159,971,23,6
160,967,27,6
161,966,28,6
162,962,32,6
163,961,32,7
164,966,30,4
165,958,34,8
166,960,33,7
167,949,43,8
168,946,45,9
169,946,45,9
170,942,47,11
171,940,50,10
172,939,50,11
173,945,47,8
174,947,45,8
175,948,46,6
176,953,42,5
177,952,43,5
178,952,43,5
179,950,45,5
180,951,44,5
181,951,44,5
182,945,49,6
183,946,45,9
184,944,47,9
185,943,47,10
186,943,47,10
187,938,53,9
188,936,55,9
189,935,55,10
190,938,52,10
191,939,49,12
192,943,48,9
193,942,49,9
194,950,43,7
195,951,42,7
196,949,44,7
197,951,41,8
198,953,40,7
199,955,39,6
200,953,42,5
201,958,37,5
202,960,35,5
203,962,32,6
204,963,31,6
205,962,31,7
206,966,27,7
207,967,26,7
208,966,28,6
209,966,29,5
210,965,29,6
211,967,27,6
212,962,31,7
213,964,30,6
214,963,32,5
215,966,30,4
216,969,27,4
217,969,27,4
218,968,28,4
219,971,25,4
220,968,28,4
221,969,28,3
222,969,27,4
223,970,26,4
224,970,26,4
225,971,25,4
226,971,25,4
227,971,25,4
228,972,23,5
229,973,22,5
230,972,22,6
231,971,24,5
232,972,23,5
233,974,21,5
234,974,21,5
235,973,22,5
236,974,21,5
237,973,22,5
238,972,23,5
239,973,22,5
240,975,20,5
241,976,19,5
242,976,19,5
243,977,19,4
244,978,19,3
245,977,20,3
246,979,19,2
247,979,18,3
248,978,18,4
249,977,19,4
250,963,31,6
251,967,27,6
252,966,28,6
253,965,29,6
254,962,32,6
255,961,33,6
256,959,36,5
257,959,37,4
258,955,41,4
259,954,42,4
260,951,46,3
261,957,40,3
262,959,38,3
263,957,40,3
264,957,40,3
265,957,40,3
266,959,38,3
267,960,37,3
268,961,36,3
269,960,37,3
270,960,37,3
271,960,37,3
272,959,37,4
273,956,41,3
274,956,41,3
275,959,38,3
276,958,39,3
277,955,42,3
278,957,40,3
279,957,40,3
280,957,40,3
281,960,37,3
282,960,38,2
283,961,37,2
284,960,38,2
285,959,39,2
286,957,41,2
287,957,41,2
288,960,37,3
289,960,38,2
290,962,35,3
291,962,35,3
292,961,36,3
293,962,35,3
294,960,36,4
295,956,39,5
296,960,36,4
297,963,34,3
298,962,35,3
299,961,34,5
300,959,36,5
301,959,36,5
302,956,39,5
303,964,31,5
304,969,26,5
305,971,24,5
306,972,23,5
307,972,23,5
308,970,25,5
309,970,25,5
310,969,26,5
311,970,25,5
312,970,25,5
313,967,27,6
314,964,30,6
315,965,29,6
316,965,29,6
317,966,28,6
318,968,26,6
319,969,26,5
320,970,26,4
321,971,25,4
322,973,23,4
323,975,22,3
324,963,33,4
325,961,35,4
326,963,33,4
327,960,36,4
328,965,32,3
329,968,29,3
330,968,29,3
331,969,27,4
332,969,26,5
333,969,26,5
334,970,26,4
335,970,26,4
336,968,28,4
337,970,27,3
338,967,30,3
339,968,29,3
340,968,30,2
341,967,30,3
342,967,30,3
343,969,27,4
344,968,28,4
345,968,29,3
346,966,31,3
347,966,31,3
348,966,31,3
349,968,29,3
350,965,32,3
351,933,53,14
352,932,54,14
353,934,53,13
354,933,55,12
355,938,51,11
356,936,52,12
