Tick 0: Low: 29|middle: 35|high: 36
Tick 1: Low: 20|middle: 43|high: 37
Tick 2: Low: 11|middle: 56|high: 33
Tick 3: Low: 10|middle: 53|high: 37
Tick 4: Low: 15|middle: 52|high: 33
Tick 5: Low: 19|middle: 53|high: 28
Tick 6: Low: 21|middle: 51|high: 28
Tick 7: Low: 24|middle: 43|high: 33
Tick 8: Low: 26|middle: 41|high: 33
Tick 9: Low: 29|middle: 45|high: 26
Tick 10: Low: 31|middle: 44|high: 25
Tick 11: Low: 32|middle: 49|high: 19
Tick 12: Low: 36|middle: 48|high: 16
Tick 13: Low: 40|middle: 45|high: 15
Tick 14: Low: 39|middle: 47|high: 14
Tick 15: Low: 42|middle: 47|high: 11
Tick 16: Low: 43|middle: 47|high: 10
Tick 17: Low: 47|middle: 45|high: 8
Tick 18: Low: 45|middle: 49|high: 6
Tick 19: Low: 48|middle: 46|high: 6
Tick 20: Low: 54|middle: 39|high: 7
Tick 21: Low: 60|middle: 33|high: 7
Tick 22: Low: 62|middle: 32|high: 6
Tick 23: Low: 63|middle: 32|high: 5
Tick 24: Low: 64|middle: 31|high: 5
Tick 25: Low: 65|middle: 27|high: 8
Tick 26: Low: 66|middle: 27|high: 7
Tick 27: Low: 68|middle: 25|high: 7
Tick 28: Low: 67|middle: 26|high: 7
Tick 29: Low: 67|middle: 26|high: 7
Tick 30: Low: 68|middle: 26|high: 6
Tick 31: Low: 69|middle: 26|high: 5
Tick 32: Low: 73|middle: 22|high: 5
Tick 33: Low: 74|middle: 21|high: 5
Tick 34: Low: 74|middle: 21|high: 5
Tick 35: Low: 77|middle: 19|high: 4
Tick 36: Low: 77|middle: 19|high: 4
Tick 37: Low: 78|middle: 18|high: 4
Tick 38: Low: 79|middle: 17|high: 4
Tick 39: Low: 79|middle: 18|high: 3
Tick 40: Low: 79|middle: 18|high: 3
Tick 41: Low: 83|middle: 14|high: 3
Tick 42: Low: 84|middle: 13|high: 3
Tick 43: Low: 86|middle: 11|high: 3
Tick 44: Low: 87|middle: 10|high: 3
Tick 45: Low: 88|middle: 9|high: 3
Tick 46: Low: 87|middle: 11|high: 2
Tick 47: Low: 87|middle: 11|high: 2
