"Time","low","mid","up"
398,218,24,8
399,219,23,8
400,220,23,7
401,222,22,6
402,222,22,6
403,226,19,5
404,227,18,5
405,229,17,4
406,223,22,5
407,223,22,5
408,223,22,5
409,226,19,5
410,227,19,4
411,228,18,4
412,229,17,4
413,229,18,3
414,233,15,2
415,233,15,2
416,235,13,2
417,237,11,2
418,239,9,2
419,240,9,1
420,239,10,1
421,237,11,2
422,237,10,3
423,237,10,3
424,235,12,3
425,238,9,3
426,237,11,2
427,237,10,3
428,236,12,2
429,238,10,2
430,237,11,2
431,237,11,2
432,235,13,2
433,235,13,2
434,234,14,2
435,235,13,2
436,218,21,11
437,218,21,11
438,218,22,10
439,218,22,10
440,218,21,11
441,215,24,11
442,216,23,11
443,215,24,11
444,217,22,11
445,222,17,11
446,224,18,8
447,226,17,7
448,228,17,5
449,229,16,5
450,229,14,7
451,228,15,7
452,228,16,6
453,231,13,6
454,230,15,5
455,229,16,5
456,230,15,5
457,232,13,5
458,233,12,5
459,233,12,5
460,233,12,5
461,234,12,4
462,233,13,4
463,234,12,4
464,233,13,4
465,232,14,4
466,233,14,3
467,234,13,3
468,236,11,3
469,235,12,3
470,233,14,3
471,235,14,1
472,236,12,2
473,235,13,2
474,235,13,2
475,235,13,2
476,226,15,9
477,228,14,8
478,231,12,7
479,231,12,7
480,231,11,8
481,231,12,7
482,233,11,6
483,233,12,5
484,234,11,5
485,234,11,5
486,235,10,5
487,236,9,5
488,237,9,4
489,237,9,4
490,239,8,3
491,239,7,4
492,238,8,4
493,238,8,4
494,239,7,4
495,240,7,3
496,239,8,3
497,231,16,3
498,232,15,3
499,232,15,3
500,235,12,3
